vc_code,vc_name,vc_url
system,系统管理,
system:user:view,用户管理,/page/user/userList
system:role:view,角色管理,/page/role/roleList
system:permission:view,权限管理,/page/permission/permissionList
system:dictType:view,字典类型,/page/dictionary/typeList
system:dataDict:view,数据字典,/page/dictionary/dataList
system:job:view,定时任务,/page/job/jobList
system:druidMonitor:view,Druid监控,/druid/index.html
logManager,日志管理,
logManager:loginLog:view,登录日志,/page/log/userLoginLog
logManager:viewLog:view,访问日志,/page/log/userViewLog
system:user:add,用户新增,/user/add
system:user:edit,用户编辑,/user/edit
system:user:remove,用户删除,/user/remove
system:user:assignRole,分配角色,/user/saveRole
system:user:initPassword,初始化密码,/user/initPassword
system:user:status,启用/禁用,/user/status
system:user:lockStatus,锁定/解锁,/user/lockStatus
system:role:add,角色新增,/role/add
system:role:edit,角色编辑,/role/edit
system:role:remove,角色删除,/role/remove
system:role:assignPermission,分配权限,/role/savePermission
system:role:status,启用/禁用,/role/status
system:permission:add,权限新增,/permission/add
system:permission:edit,权限编辑,/permission/edit
system:permission:remove,权限删除,/permission/remove
system:permission:status,启用/禁用,/permission/status
system:dictionaryType:add,字典类型新增,/dictionaryType/add
system:dictionaryType:edit,字典类型编辑,/dictionaryType/edit
system:dictionaryType:remove,字典类型删除,/dictionaryType/remove
system:dataDictionary:add,数据字典新增,/dataDictionary/add
system:dataDictionary:edit,数据字典编辑,/dataDictionary/edit
system:dataDictionary:remove,数据字典删除,/dataDictionary/remove
system:job:add,任务新增,/scheduledJob/add
system:job:edit,任务编辑,/scheduledJob/edit
system:job:remove,任务删除,/scheduledJob/remove
system:job:startJob,任务启动,/scheduledJob/startJob
system:job:pauseJob,任务停止,/scheduledJob/pauseJob
system:job:executeJobNow,立即执行,/scheduledJob/executeJobNow
system:department:view,部门管理,/page/department/departmentList
system:department:add,部门新增,/department/add
system:department:edit,部门编辑,/department/edit
system:department:remove,部门删除,/department/remove
system:department:list,部门查询,/department/list
system:user:list,用户查询,/user/list
system:role:list,角色查询,/role/list
system:permission:list,权限查询,/permission/list
system:dictionaryType:list,字典类型查询,/dictionaryType/list
system:dataDictionary:list,数据字典查询,/dataDictionary/list
system:job:list,任务查询,/scheduledJob/list
system:department:status,启用/禁用,/department/status
editProfile,个人信息,/profile/save
modifyPwd,修改密码,/profile/modifyPwd/save
